num_players,num_rounds,round_index,pairs
17,17,4,"(0,9);(1,2);(3,6);(4,7);(8,13);(10,16);(11,15);(12,14)"
17,17,5,"(0,10);(1,3);(2,11);(4,5);(6,12);(8,15);(9,14);(13,16)"
17,17,6,"(0,4);(1,7);(2,10);(3,8);(5,14);(9,16);(11,12);(13,15)"
17,17,7,"(0,12);(1,4);(2,5);(3,13);(6,16);(7,15);(9,11);(10,14)"
17,17,8,"(0,6);(1,11);(2,12);(3,15);(4,13);(5,10);(7,14);(8,16)"
17,17,9,"(0,15);(1,8);(2,6);(3,11);(4,14);(5,13);(7,16);(9,12)"
17,17,10,"(0,11);(1,9);(2,8);(3,10);(4,16);(5,12);(6,14);(7,13)"
17,17,11,"(0,5);(1,15);(2,16);(3,9);(4,10);(6,13);(7,12);(8,14)"
17,17,12,"(0,14);(1,13);(2,15);(3,16);(4,9);(5,7);(6,10);(8,11)"
17,17,13,"(0,7);(1,14);(2,9);(3,12);(4,15);(5,16);(6,8);(10,11)"
17,17,14,"(0,16);(1,12);(2,13);(3,5);(4,11);(6,15);(7,8);(9,10)"
17,17,15,"(0,8);(1,10);(2,7);(3,14);(4,12);(5,15);(6,11);(9,13)"
17,17,16,"(0,13);(1,16);(2,14);(4,8);(5,11);(6,7);(9,15);(10,12)"
18,9,0,"(0,1);(2,6);(3,14);(4,15);(5,7);(8,11);(9,17);(12,16)"
18,9,1,"(0,2);(1,9);(3,6);(4,14);(5,11);(7,13);(10,17);(15,16)"
18,9,2,"(0,10);(1,5);(2,16);(3,11);(4,13);(6,8);(7,17);(12,15)"
18,9,3,"(0,13);(1,4);(2,15);(5,10);(6,17);(7,16);(8,9);(12,14)"
18,9,4,"(0,8);(2,17);(3,12);(4,9);(5,15);(6,7);(10,11);(13,14)"
18,9,5,"(0,17);(1,8);(2,13);(3,9);(4,7);(5,16);(10,12);(11,14)"
18,9,6,"(1,16);(2,9);(3,10);(4,11);(5,14);(6,15);(7,8);(12,13)"
18,9,7,"(0,12);(1,13);(2,4);(3,16);(6,11);(8,17);(9,10);(14,15)"
18,9,8,"(0,5);(1,10);(3,7);(6,14);(8,15);(9,12);(11,13);(16,17)"
18,18,0,"(0,1);(2,15);(3,13);(5,12);(6,14);(7,16);(9,11);(10,17)"
18,18,1,"(0,8);(2,4);(3,10);(5,11);(7,12);(9,13);(14,17);(15,16)"
18,18,2,"(0,3);(1,6);(2,7);(4,9);(5,14);(10,16);(11,12);(15,17)"
18,18,3,"(0,4);(1,12);(3,14);(5,17);(6,15);(7,9);(8,13);(10,11)"
18,18,4,"(0,7);(1,14);(2,17);(3,5);(4,12);(6,9);(8,10);(13,16)"
18,18,5,"(0,6);(1,5);(2,12);(4,10);(8,16);(9,17);(11,14);(13,15)"
18,18,6,"(0,9);(1,10);(2,13);(3,8);(4,15);(5,7);(6,12);(11,16)"
18,18,7,"(0,10);(1,8);(2,16);(3,17);(5,9);(6,11);(7,13);(12,14)"
18,18,8,"(0,11);(1,17);(2,9);(3,16);(4,6);(5,13);(7,8);(14,15)"
18,18,9,"(0,13);(1,9);(2,11);(3,7);(4,17);(5,15);(8,12);(10,14)"
18,18,10,"(0,12);(1,13);(2,3);(4,5);(6,7);(8,17);(10,15);(14,16)"
18,18,11,"(0,15);(1,11);(3,9);(4,7);(6,13);(8,14);(10,12);(16,17)"
18,18,12,"(1,7);(2,5);(4,8);(6,10);(9,15);(11,17);(12,16);(13,14)"
18,18,13,"(0,14);(1,4);(2,8);(3,15);(5,16);(6,17);(7,10);(11,13)"
18,18,14,"(1,2);(3,6);(4,11);(5,8);(7,17);(9,16);(10,13);(12,15)"
18,18,15,"(0,16);(1,15);(2,14);(3,12);(4,13);(5,6);(8,11);(9,10)"
18,18,16,"(0,17);(2,10);(3,11);(4,14);(6,16);(7,15);(8,9);(12,13)"
18,18,17,"(0,5);(1,16);(2,6);(3,4);(7,11);(8,15);(9,14);(12,17)"
19,19,0,"(0,10);(1,3);(2,11);(4,15);(5,9);(6,14);(7,17);(13,16)"
19,19,1,"(0,2);(3,15);(4,8);(5,11);(6,7);(9,12);(14,16);(17,18)"
19,19,2,"(0,7);(1,13);(2,17);(3,8);(4,5);(9,16);(10,11);(14,18)"
19,19,3,"(0,6);(1,16);(3,5);(4,18);(7,12);(8,10);(11,14);(13,17)"
19,19,4,"(0,5);(1,4);(2,8);(9,18);(10,14);(11,13);(12,15);(16,17)"
19,19,5,"(0,8);(1,2);(3,13);(4,11);(5,14);(6,9);(7,15);(10,16)"
19,19,6,"(0,16);(2,13);(3,9);(4,12);(5,10);(6,17);(7,18);(8,15)"
19,19,7,"(0,9);(1,6);(2,14);(3,11);(5,16);(8,18);(10,17);(12,13)"
19,19,8,"(0,12);(1,18);(2,5);(3,4);(6,15);(8,17);(11,16);(13,14)"
19,19,9,"(0,11);(1,15);(3,17);(4,9);(5,6);(7,14);(10,18);(12,16)"
19,19,10,"(0,13);(1,14);(2,6);(3,12);(4,10);(5,7);(8,16);(9,15)"
